x,y,z,faceIndex,nodeIndex,nodeCount
-0.012343431066995869,-0.5896389700060035,0.1110220025502118,1552370,9348,4
-0.012333714240365445,-0.5873006609558948,0.12279223770568366,1552370,9350,4
-0.02517051994463415,-0.48604218419971945,0.3517996520441229,1552376,9700,4
-0.02526240965386073,-0.49299024691181076,0.34199505325345253,1552376,9699,4
-0.012519608353196432,-0.49299005759273823,0.3419953261591577,1552376,9374,4
-0.012495466473636085,-0.486042110373649,0.3517997540413148,1552376,9375,4
-0.02511407123268583,-0.4788992588684605,0.3614629992893314,1552377,9701,4
-0.02517051994463415,-0.48604218419971945,0.3517996520441229,1552377,9700,4
-0.012495466473636085,-0.486042110373649,0.3517997540413148,1552377,9375,4
-0.012463665619261377,-0.47889907084970734,0.36146324839364646,1552377,9376,4
-0.02507660297799319,-0.47156475494094013,0.3709807028640319,1552378,9702,4
-0.02511407123268583,-0.4788992588684605,0.3614629992893314,1552378,9701,4
-0.012463665619261377,-0.47889907084970734,0.36146324839364646,1552378,9376,4
-0.012441738104220335,-0.4715638647286895,0.3709818344368659,1552378,9378,4
-0.025130399073947096,-0.46404274997695716,0.3803476386068713,1552379,9703,4
-0.02507660297799319,-0.47156475494094013,0.3709807028640319,1552379,9702,4
-0.012441738104220335,-0.4715638647286895,0.3709818344368659,1552379,9378,4
-0.01245830407095827,-0.46403941689820527,0.38035170508987287,1552379,9379,4
-0.026700593492208213,-0.4062782481526817,0.4415178196607561,1552381,9710,4
-0.02665298223478274,-0.4150626735274001,0.4332700971037429,1552381,9709,4
-0.013120229206780465,-0.41508186079462595,0.4332517153333276,1552381,9444,4
-0.01315230421921676,-0.4063157696891449,0.44148328994642333,1552381,9387,4
-0.013169775229820324,-0.13256747895654286,0.5851716530413161,1552382,9422,4
-0.01360692390831364,-0.12081517958431275,0.5877105515319682,1552382,9423,4
-0.027713267012674514,-0.12084445698821358,0.5877045322398184,1552382,9733,4
-0.02680039550992408,-0.132545784233559,0.5851765674408971,1552382,9732,4
-0.013729301578631947,-0.07320991451037992,0.5955168414221237,1552384,9411,4
-0.014116273429586101,-0.06108959418103414,0.596881949369217,1552384,9418,4
-0.02873527386015695,-0.060757512143468966,0.5969158439161556,1552384,9559,4
-0.028047844892192586,-0.0730654329705698,0.5955345854816688,1552384,9558,4
-0.014116273429586101,-0.06108959418103414,0.596881949369217,1552385,9418,4
-0.014364751217744498,-0.04885862048442583,0.5980073872489862,1552385,9417,4
-0.029358280642663992,-0.048202600199589746,0.5980606234605306,1552385,9741,4
-0.02873527386015695,-0.060757512143468966,0.5969158439161556,1552385,9559,4
-0.014364751217744498,-0.04885862048442583,0.5980073872489862,1552386,9417,4
-0.01446838551195384,-0.0366840714432183,0.5988775157762636,1552386,9415,4
-0.02932672977736228,-0.03589968945921856,0.5989250473112071,1552386,9738,4
-0.029358280642663992,-0.048202600199589746,0.5980606234605306,1552386,9741,4
-0.01446838551195384,-0.0366840714432183,0.5988775157762636,1552387,9415,4
-0.014626155130880392,-0.02476928723884516,0.5994885173292976,1552387,9413,4
-0.029579728619165024,-0.026049412530222332,0.599434256701125,1552387,9739,4
-0.02932672977736228,-0.03589968945921856,0.5989250473112071,1552387,9738,4
-0.014527344289307464,-0.01247414477678178,0.5998703157450682,1552388,9412,4
-0.02941197501715287,-0.013312053973366348,0.5998523061712859,1552388,9414,4
-0.029579728619165024,-0.026049412530222332,0.599434256701125,1552388,9739,4
-0.014626155130880392,-0.02476928723884516,0.5994885173292976,1552388,9413,4
-0.013336399288351508,-7.347880794884119e-17,-0.6,1555130,654,4
-0.0277029720228974,-7.347880794884119e-17,-0.6,1555130,653,4
-0.029236680494614475,0.01344602204967328,-0.5998493181550177,1555130,18081,4
-0.014405157077113984,0.012554882991463975,-0.5998686313794634,1555130,18082,4
-0.013336399288353284,1.4695761589768238e-16,0.6,1555320,655,4
-0.014613653042053087,0.01249466388598473,0.5998698887045225,1555320,17891,4
-0.02962664796972625,0.013245346909611566,0.5998537828381546,1555320,17890,4
-0.027702972022899175,1.4695761589768238e-16,0.6,1555320,656,4
-0.014508990859207316,0.03718659491478317,0.5988465222063528,1555321,17893,4
-0.015022833721515028,0.024927229382790315,0.5994819707341479,1555321,17892,4
0.0,0.024472319697591435,0.5995007135680648,1555321,529,4
0.0,0.03675186354699169,0.59887335933887,1555321,528,4
-0.013009939354963862,0.10897918819884321,0.5900199458827821,1555322,17899,4
-0.013068013621638563,0.09705881909287233,0.592097614955758,1555322,17898,4
0.0,0.0971322591594457,0.592085571712892,1555322,523,4
0.0,0.10899592684222954,0.5900168539387696,1555322,522,4
-0.013120570394064224,0.12081613087799473,0.587710355974498,1555323,17900,4
-0.013009939354963862,0.10897918819884321,0.5900199458827821,1555323,17899,4
0.0,0.10899592684222954,0.5900168539387696,1555323,522,4
0.0,0.12080816145417796,0.587711994199592,1555323,521,4
0.0,0.13256901145210312,0.5851713058606105,1555324,520,4
-0.0125526616104219,0.13257034713812882,0.5851710032628719,1555324,17901,4
-0.013120570394064224,0.12081613087799473,0.587710355974498,1555324,17900,4
0.0,0.12080816145417796,0.587711994199592,1555324,521,4
-0.012420159524749508,0.14427530084283338,0.5823956022899812,1555325,17902,4
-0.0125526616104219,0.13257034713812882,0.5851710032628719,1555325,17901,4
0.0,0.13256901145210312,0.5851713058606105,1555325,520,4
0.0,0.1442756563089996,0.5823955142311859,1555325,519,4
-0.012579400097353144,0.1559212244963954,0.5793863751863213,1555326,17904,4
-0.012420159524749508,0.14427530084283338,0.5823956022899812,1555326,17902,4
0.0,0.1442756563089996,0.5823955142311859,1555326,519,4
0.0,0.15592405489502742,0.5793856134778396,1555326,518,4
-0.012752308065036466,0.16750580958620168,0.5761439088933173,1555327,17905,4
-0.012579400097353144,0.1559212244963954,0.5793863751863213,1555327,17904,4
0.0,0.15592405489502742,0.5793856134778396,1555327,518,4
0.0,0.1675097311975384,0.576142768725017,1555327,517,4
-0.012643633967995171,0.2243386415135041,0.5564819619034165,1555329,17911,4
-0.012733195383579421,0.213134790029814,0.5608685775464223,1555329,17910,4
0.0,0.213132117292443,0.5608695932018781,1555329,513,4
0.0,0.22433403811656918,0.5564838176823417,1555329,512,4
-0.01233987934705727,0.4150814709044321,0.4332520888718404,1555330,17934,4
-0.01231668869612701,0.4063179987147496,0.4414812384693609,1555330,17932,4
0.0,0.40631912569652484,0.4414802012471359,1555330,494,4
0.0,0.41508265549575646,0.43325095395923957,1555330,493,4
-0.012303993456045603,0.5683651565505087,0.1922525651826673,1555339,17963,4
-0.012317680171154421,0.564403050624972,0.20359075726865714,1555339,17961,4
0.0,0.5644038506561325,0.20358853937422422,1555339,470,4
0.0,0.5683660517587503,0.1922499186168085,1555339,469,4
-0.012305366918610616,0.5720991495369728,0.18083850004651209,1555340,17964,4
-0.012303993456045603,0.5683651565505087,0.1922525651826673,1555340,17963,4
0.0,0.5683660517587503,0.1922499186168085,1555340,469,4
0.0,0.5721001270684929,0.1808354075069765,1555340,468,4
